Time,APM 1 CPU,APM 1 Memory,APM 2 CPU,APM 2 Memory,APM 3 CPU,APM 3 Memory,APM 4 CPU,APM 4 Memory,APM 5 CPU,APM 5 Memory,APM 6 CPU,APM 6 Memory
785,0.0 , 0.0 ,0.0 , 0.0 ,43.7 , 0.0 ,2.1 , 0.0 ,17.5 , 0.0 ,0.0 , 6.4
791,0.0 , 0.0 ,0.0 , 0.0 ,44.0 , 0.0 ,2.1 , 0.0 ,17.3 , 0.0 ,0.0 , 6.5
796,0.0 , 0.0 ,0.0 , 0.0 ,44.3 , 0.0 ,2.1 , 0.0 ,17.2 , 0.0 ,0.0 , 6.5
802,0.0 , 0.0 ,0.0 , 0.0 ,44.6 , 0.0 ,2.1 , 0.0 ,17.1 , 0.0 ,0.0 , 6.6
807,0.0 , 0.0 ,0.0 , 0.0 ,45.0 , 0.0 ,2.1 , 0.0 ,17.0 , 0.0 ,0.0 , 6.6
813,0.0 , 0.0 ,0.0 , 0.0 ,45.3 , 0.0 ,2.1 , 0.0 ,16.9 , 0.0 ,0.0 , 6.6
818,0.0 , 0.0 ,0.0 , 0.0 ,45.0 , 0.0 ,2.1 , 0.0 ,16.8 , 0.0 ,0.0 , 6.7
823,0.0 , 0.0 ,0.0 , 0.0 ,44.7 , 0.0 ,2.1 , 0.0 ,16.7 , 0.0 ,0.0 , 6.7
828,0.0 , 0.0 ,0.0 , 0.0 ,44.4 , 0.0 ,2.1 , 0.0 ,16.6 , 0.0 ,0.0 , 6.7
833,0.0 , 0.0 ,0.0 , 0.0 ,44.2 , 0.0 ,2.1 , 0.0 ,16.5 , 0.0 ,0.0 , 6.8
838,0.0 , 0.0 ,0.0 , 0.0 ,43.9 , 0.0 ,2.1 , 0.0 ,16.4 , 0.0 ,0.0 , 6.8
843,0.0 , 0.0 ,0.0 , 0.0 ,43.6 , 0.0 ,2.4 , 0.0 ,16.2 , 0.0 ,0.0 , 7.0
849,0.0 , 0.0 ,0.0 , 0.0 ,43.3 , 0.0 ,3.0 , 0.0 ,16.2 , 0.0 ,0.0 , 7.0
854,0.0 , 0.0 ,0.0 , 0.0 ,43.3 , 0.0 ,3.3 , 0.0 ,16.1 , 0.0 ,0.0 , 7.1
860,0.0 , 0.0 ,0.0 , 0.0 ,43.3 , 0.0 ,3.6 , 0.0 ,16.0 , 5.9 ,0.0 , 7.1
865,0.0 , 0.0 ,0.0 , 0.0 ,43.2 , 0.0 ,3.7 , 0.0 ,16.1 , 5.9 ,0.0 , 7.2
871,0.0 , 0.0 ,0.0 , 0.0 ,43.1 , 0.0 ,3.9 , 0.0 ,16.2 , 5.9 ,0.0 , 7.2
877,0.0 , 0.0 ,0.0 , 0.0 ,43.1 , 0.0 ,4.1 , 0.0 ,16.3 , 5.9 ,0.0 , 7.2
883,0.0 , 0.0 ,0.0 , 0.0 ,43.0 , 0.0 ,4.3 , 0.0 ,16.4 , 5.9 ,0.0 , 7.4
889,0.0 , 0.0 ,0.0 , 0.0 ,43.0 , 0.0 ,4.5 , 0.0 ,16.5 , 5.9 ,0.0 , 7.4
895,0.0 , 0.0 ,0.0 , 0.0 ,42.9 , 0.0 ,4.7 , 0.0 ,16.7 , 5.9 ,0.0 , 7.4
901,0.0 , 0.0 ,0.0 , 0.0 ,42.8 , 0.0 ,4.8 , 0.0 ,16.8 , 5.9 ,0.0 , 7.4
